2-theta,Experimental XRD,Fit,Difference,Background
1.71400E+1,5.29000E+2,5.18758E+2,1.02424E+1,5.15779E+2
1.71600E+1,5.13000E+2,5.17541E+2,-4.54120E+0,5.14926E+2
1.71800E+1,5.43000E+2,5.14981E+2,2.80195E+1,5.14074E+2
1.72000E+1,4.79000E+2,5.14024E+2,-3.50245E+1,5.13223E+2
1.72200E+1,5.18000E+2,5.12374E+2,5.62592E+0,5.12374E+2
1.72400E+1,4.96000E+2,5.11526E+2,-1.55265E+1,5.11526E+2
1.72600E+1,5.40000E+2,5.10680E+2,2.93199E+1,5.10680E+2
1.72800E+1,5.43000E+2,5.09835E+2,3.31649E+1,5.09835E+2
1.73000E+1,5.18000E+2,5.08992E+2,9.00836E+0,5.08992E+2
1.73200E+1,4.95000E+2,5.08149E+2,-1.31491E+1,5.08149E+2
1.73400E+1,4.94000E+2,5.07308E+2,-1.33082E+1,5.07308E+2
1.73600E+1,5.37000E+2,5.06469E+2,3.05313E+1,5.06469E+2
1.73800E+1,4.86000E+2,5.05631E+2,-1.96305E+1,5.05631E+2
1.74000E+1,5.16000E+2,5.04794E+2,1.12061E+1,5.04794E+2
1.74200E+1,4.54000E+2,5.03958E+2,-4.99581E+1,5.03958E+2
1.74400E+1,5.03000E+2,5.03124E+2,-1.23901E-1,5.03124E+2
1.74600E+1,5.26000E+2,5.02291E+2,2.37088E+1,5.02291E+2
1.74800E+1,4.70000E+2,5.01460E+2,-3.14597E+1,5.01460E+2
1.75000E+1,5.09000E+2,5.00630E+2,8.37027E+0,5.00630E+2
1.75200E+1,5.06000E+2,4.99801E+2,6.19928E+0,4.99801E+2
1.75400E+1,4.84000E+2,4.98973E+2,-1.49732E+1,4.98973E+2
1.75600E+1,5.01000E+2,4.98147E+2,2.85266E+0,4.98147E+2
1.75800E+1,5.20000E+2,4.97323E+2,2.26774E+1,4.97323E+2
1.76000E+1,5.00000E+2,4.96499E+2,3.50061E+0,4.96499E+2
1.76200E+1,4.78000E+2,4.95677E+2,-1.76770E+1,4.95677E+2
1.76400E+1,4.65000E+2,4.94857E+2,-2.98565E+1,4.94857E+2
1.76600E+1,5.20000E+2,4.94037E+2,2.59629E+1,4.94037E+2
1.76800E+1,4.85000E+2,4.93219E+2,-8.21912E+0,4.93219E+2
1.77000E+1,4.94000E+2,4.92402E+2,1.59753E+0,4.92402E+2
1.77200E+1,4.95000E+2,4.91587E+2,3.41293E+0,4.91587E+2
1.77400E+1,4.69000E+2,4.90773E+2,-2.17731E+1,4.90773E+2
1.77600E+1,5.17000E+2,4.89960E+2,2.70396E+1,4.89960E+2
1.77800E+1,5.21000E+2,4.89149E+2,3.18510E+1,4.89149E+2
1.78000E+1,5.00000E+2,4.88339E+2,1.16610E+1,4.88339E+2
1.78200E+1,5.13000E+2,4.87530E+2,2.54697E+1,4.87530E+2
1.78400E+1,4.77000E+2,4.86723E+2,-9.72302E+0,4.86723E+2
1.78600E+1,5.28000E+2,4.85917E+2,4.20831E+1,4.85917E+2
1.78800E+1,4.81000E+2,4.85112E+2,-4.11243E+0,4.85112E+2
1.79000E+1,4.93000E+2,4.84309E+2,8.69104E+0,4.84309E+2
1.79200E+1,5.03000E+2,4.83507E+2,1.94932E+1,4.83507E+2
1.79400E+1,5.17000E+2,4.82706E+2,3.42938E+1,4.82706E+2
1.79600E+1,4.64000E+2,4.81907E+2,-1.79068E+1,4.81907E+2
1.79800E+1,4.75000E+2,4.81109E+2,-6.10870E+0,4.81109E+2
1.80000E+1,4.60000E+2,4.80312E+2,-2.03121E+1,4.80312E+2
1.80200E+1,4.47000E+2,4.79516E+2,-3.25164E+1,4.79516E+2
1.80400E+1,4.87000E+2,4.78722E+2,8.27762E+0,4.78722E+2
1.80600E+1,4.62000E+2,4.77930E+2,-1.59297E+1,4.77930E+2
1.80800E+1,5.22000E+2,4.77138E+2,4.48617E+1,4.77138E+2
1.81000E+1,4.32000E+2,4.76348E+2,-4.43482E+1,4.76348E+2
1.81200E+1,4.30000E+2,4.75559E+2,-4.55591E+1,4.75559E+2
1.81400E+1,4.60000E+2,4.74772E+2,-1.47716E+1,4.74772E+2
1.81600E+1,4.80000E+2,4.73985E+2,6.01456E+0,4.73985E+2
1.81800E+1,4.69000E+2,4.73201E+2,-4.20065E+0,4.73201E+2
1.82000E+1,4.68000E+2,4.72417E+2,-4.41693E+0,4.72417E+2
1.82200E+1,4.35000E+2,4.72763E+2,-3.77626E+1,4.71635E+2
1.82400E+1,4.93000E+2,4.72053E+2,2.09470E+1,4.70854E+2
1.82600E+1,4.73000E+2,4.71899E+2,1.10068E+0,4.70074E+2
1.82800E+1,5.02000E+2,4.71242E+2,3.07582E+1,4.69296E+2
1.83000E+1,4.51000E+2,4.70598E+2,-1.95979E+1,4.68519E+2
1.83200E+1,4.80000E+2,4.69969E+2,1.00310E+1,4.67743E+2
1.83400E+1,4.65000E+2,4.69358E+2,-4.35782E+0,4.66968E+2
1.83600E+1,5.01000E+2,4.68767E+2,3.22332E+1,4.66195E+2
1.83800E+1,4.82000E+2,4.68199E+2,1.38015E+1,4.65423E+2
1.84000E+1,5.24000E+2,4.67657E+2,5.63433E+1,4.64653E+2
1.84200E+1,4.66000E+2,4.67146E+2,-1.14554E+0,4.63884E+2
1.84400E+1,4.42000E+2,4.66670E+2,-2.46702E+1,4.63116E+2
1.84600E+1,4.37000E+2,4.66238E+2,-2.92375E+1,4.62349E+2
1.84800E+1,4.33000E+2,4.65855E+2,-3.28554E+1,4.61584E+2
1.85000E+1,4.60000E+2,4.65534E+2,-5.53403E+0,4.60820E+2
1.85200E+1,4.59000E+2,4.65286E+2,-6.28604E+0,4.60057E+2
1.85400E+1,4.31000E+2,4.65128E+2,-3.41283E+1,4.59295E+2
1.85600E+1,4.51000E+2,4.65082E+2,-1.40824E+1,4.58535E+2
1.85800E+1,4.53000E+2,4.65177E+2,-1.21769E+1,4.57776E+2
1.86000E+1,4.43000E+2,4.65450E+2,-2.24501E+1,4.57019E+2
1.86200E+1,4.60000E+2,4.65954E+2,-5.95441E+0,4.56262E+2
1.86400E+1,4.90000E+2,4.66763E+2,2.32370E+1,4.55507E+2
1.86600E+1,4.49000E+2,4.67980E+2,-1.89802E+1,4.54753E+2
1.86800E+1,4.69000E+2,4.69760E+2,-7.59766E-1,4.54001E+2
1.87000E+1,4.04000E+2,4.72340E+2,-6.83403E+1,4.53250E+2
1.87200E+1,4.65000E+2,4.76139E+2,-1.11391E+1,4.52500E+2
1.87400E+1,4.84000E+2,4.82046E+2,1.95435E+0,4.51751E+2
1.87600E+1,4.84000E+2,4.92218E+2,-8.21762E+0,4.51004E+2
1.87800E+1,5.68000E+2,5.11639E+2,5.63606E+1,4.50258E+2
1.88000E+1,5.27000E+2,5.49522E+2,-2.25224E+1,4.49513E+2
1.88200E+1,5.75000E+2,6.17534E+2,-4.25335E+1,4.48769E+2
1.88400E+1,6.47000E+2,7.21460E+2,-7.44601E+1,4.48027E+2
1.88600E+1,7.22000E+2,8.43460E+2,-1.21460E+2,4.47286E+2
1.88800E+1,7.80000E+2,9.20086E+2,-1.40086E+2,4.46547E+2
1.89000E+1,7.39000E+2,8.19693E+2,-8.06934E+1,4.45808E+2
1.89200E+1,6.58000E+2,7.12533E+2,-5.45334E+1,4.45071E+2
1.89400E+1,5.52000E+2,6.21416E+2,-6.94158E+1,4.44335E+2
1.89600E+1,5.08000E+2,5.21744E+2,-1.37435E+1,4.43600E+2
1.89800E+1,4.60000E+2,4.75120E+2,-1.51204E+1,4.42867E+2
1.90000E+1,4.40000E+2,4.59867E+2,-1.98669E+1,4.42135E+2
1.90200E+1,4.89000E+2,4.53445E+2,3.55550E+1,4.41404E+2
1.90400E+1,4.63000E+2,4.49514E+2,1.34859E+1,4.40674E+2
1.90600E+1,4.51000E+2,4.46723E+2,4.27704E+0,4.39946E+2
1.90800E+1,4.42000E+2,4.44583E+2,-2.58347E+0,4.39219E+2
1.91000E+1,4.26000E+2,4.42847E+2,-1.68474E+1,4.38493E+2
1.91200E+1,4.50000E+2,4.41374E+2,8.62582E+0,4.37769E+2
1.91400E+1,4.40000E+2,4.40081E+2,-8.11462E-2,4.37045E+2
1.91600E+1,4.70000E+2,4.38915E+2,3.10852E+1,4.36323E+2
1.91800E+1,4.41000E+2,4.37841E+2,3.15909E+0,4.35603E+2
1.92000E+1,4.37000E+2,4.36836E+2,1.63940E-1,4.34883E+2
1.92200E+1,4.46000E+2,4.35884E+2,1.01160E+1,4.34165E+2
1.92400E+1,4.18000E+2,4.34973E+2,-1.69727E+1,4.33448E+2
1.92600E+1,4.37000E+2,4.33269E+2,3.73135E+0,4.32732E+2
1.92800E+1,4.31000E+2,4.32496E+2,-1.49567E+0,4.32017E+2
1.93000E+1,4.11000E+2,4.31304E+2,-2.03042E+1,4.31304E+2
1.93200E+1,4.49000E+2,4.30592E+2,1.84079E+1,4.30592E+2
1.93400E+1,4.04000E+2,4.29881E+2,-2.58812E+1,4.29881E+2
1.93600E+1,4.14000E+2,4.29172E+2,-1.51717E+1,4.29172E+2
1.93800E+1,4.25000E+2,4.28463E+2,-3.46344E+0,4.28463E+2
1.94000E+1,4.00000E+2,4.27756E+2,-2.77563E+1,4.27756E+2
1.94200E+1,4.07000E+2,4.27050E+2,-2.00504E+1,4.27050E+2
1.94400E+1,4.25000E+2,4.26346E+2,-1.34586E+0,4.26346E+2
1.94600E+1,4.40000E+2,4.25643E+2,1.43574E+1,4.25643E+2
1.94800E+1,4.53000E+2,4.24940E+2,2.80595E+1,4.24940E+2
1.95000E+1,4.46000E+2,4.24239E+2,2.17607E+1,4.24239E+2
1.95200E+1,4.38000E+2,4.23540E+2,1.44602E+1,4.23540E+2
1.95400E+1,4.47000E+2,4.22841E+2,2.41586E+1,4.22841E+2
1.95600E+1,4.17000E+2,4.22144E+2,-5.14423E+0,4.22144E+2
1.95800E+1,4.05000E+2,4.21448E+2,-1.64482E+1,4.21448E+2
1.96000E+1,4.29000E+2,4.20753E+2,8.24680E+0,4.20753E+2
1.96200E+1,4.56000E+2,4.20060E+2,3.59402E+1,4.20060E+2
1.96400E+1,4.31000E+2,4.19368E+2,1.16324E+1,4.19368E+2
1.96600E+1,4.27000E+2,4.18677E+2,8.32346E+0,4.18677E+2
1.96800E+1,4.06000E+2,4.17987E+2,-1.19867E+1,4.17987E+2
1.97000E+1,3.92000E+2,4.17298E+2,-2.52978E+1,4.17298E+2
1.97200E+1,4.04000E+2,4.16611E+2,-1.26106E+1,4.16611E+2
1.97400E+1,4.20000E+2,4.15924E+2,4.07565E+0,4.15924E+2
1.97600E+1,4.19000E+2,4.15240E+2,3.76050E+0,4.15240E+2
1.97800E+1,3.93000E+2,4.14556E+2,-2.15556E+1,4.14556E+2
1.98000E+1,3.95000E+2,4.13873E+2,-1.88730E+1,4.13873E+2
1.98200E+1,3.94000E+2,4.13192E+2,-1.91917E+1,4.13192E+2
1.98400E+1,3.95000E+2,4.12512E+2,-1.75116E+1,4.12512E+2
1.98600E+1,3.95000E+2,4.11833E+2,-1.68327E+1,4.11833E+2
1.98800E+1,3.84000E+2,4.11155E+2,-2.71552E+1,4.11155E+2
1.99000E+1,3.98000E+2,4.10479E+2,-1.24786E+1,4.10479E+2
1.99200E+1,4.05000E+2,4.09803E+2,-4.80319E+0,4.09803E+2
1.99400E+1,4.17000E+2,4.09129E+2,7.87088E+0,4.09129E+2
1.99600E+1,3.91000E+2,4.08456E+2,-1.74562E+1,4.08456E+2
1.99800E+1,3.97000E+2,4.07785E+2,-1.07846E+1,4.07785E+2
2.00000E+1,3.82000E+2,4.07114E+2,-2.51141E+1,4.07114E+2
2.00200E+1,3.75000E+2,4.06445E+2,-3.14448E+1,4.06445E+2
2.00400E+1,3.93000E+2,4.05777E+2,-1.27767E+1,4.05777E+2
2.00600E+1,3.63000E+2,4.05110E+2,-4.21098E+1,4.05110E+2
2.00800E+1,3.76000E+2,4.04444E+2,-2.84443E+1,4.04444E+2
2.01000E+1,3.85000E+2,4.03780E+2,-1.87797E+1,4.03780E+2
2.01200E+1,4.08000E+2,4.03116E+2,4.88358E+0,4.03116E+2
2.01400E+1,3.93000E+2,4.02454E+2,-9.45435E+0,4.02454E+2
2.01600E+1,4.00000E+2,4.01793E+2,-1.79343E+0,4.01793E+2
2.01800E+1,3.81000E+2,4.01134E+2,-2.01337E+1,4.01134E+2
2.02000E+1,4.10000E+2,4.00475E+2,9.52487E+0,4.00475E+2
2.02200E+1,3.86000E+2,3.99818E+2,-1.38179E+1,3.99818E+2
2.02400E+1,3.96000E+2,3.99162E+2,-3.16190E+0,3.99162E+2
2.02600E+1,3.95000E+2,3.98507E+2,-3.50687E+0,3.98507E+2
2.02800E+1,4.07000E+2,3.97853E+2,9.14706E+0,3.97853E+2
2.03000E+1,4.02000E+2,3.97200E+2,4.79962E+0,3.97200E+2
2.03200E+1,4.15000E+2,3.96549E+2,1.84510E+1,3.96549E+2
2.03400E+1,3.76000E+2,3.95899E+2,-1.98988E+1,3.95899E+2
2.03600E+1,3.76000E+2,3.95250E+2,-1.92497E+1,3.95250E+2
2.03800E+1,3.95000E+2,3.94602E+2,3.98132E-1,3.94602E+2
2.04000E+1,4.09000E+2,3.93955E+2,1.50450E+1,3.93955E+2
2.04200E+1,3.88000E+2,3.93310E+2,-5.30954E+0,3.93310E+2
2.04400E+1,4.01000E+2,3.92665E+2,8.33466E+0,3.92665E+2
2.04600E+1,3.98000E+2,3.92022E+2,5.97784E+0,3.92022E+2
2.04800E+1,4.19000E+2,3.91380E+2,2.76199E+1,3.91380E+2
2.05000E+1,4.17000E+2,3.90739E+2,2.62609E+1,3.90739E+2
2.05200E+1,3.64000E+2,3.90099E+2,-2.60995E+1,3.90099E+2
2.05400E+1,3.93000E+2,3.89461E+2,3.53906E+0,3.89461E+2
2.05600E+1,4.11000E+2,3.88824E+2,2.21763E+1,3.88824E+2
2.05800E+1,4.21000E+2,3.88188E+2,3.28124E+1,3.88188E+2
2.06000E+1,3.87000E+2,3.87552E+2,-5.52460E-1,3.87552E+2
2.06200E+1,3.59000E+2,3.86919E+2,-2.79186E+1,3.86919E+2
2.06400E+1,3.59000E+2,3.86286E+2,-2.72859E+1,3.86286E+2
2.06600E+1,3.62000E+2,3.85654E+2,-2.36544E+1,3.85654E+2
2.06800E+1,3.93000E+2,3.85024E+2,7.97589E+0,3.85024E+2
2.07000E+1,3.56000E+2,3.84395E+2,-2.83948E+1,3.84395E+2
2.07200E+1,3.84000E+2,3.83767E+2,2.33307E-1,3.83767E+2
2.07400E+1,3.66000E+2,3.83140E+2,-1.71398E+1,3.83140E+2
2.07600E+1,4.09000E+2,3.82514E+2,2.64859E+1,3.82514E+2
2.07800E+1,3.53000E+2,3.81890E+2,-2.88896E+1,3.81890E+2
2.08000E+1,3.85000E+2,3.81266E+2,3.73392E+0,3.81266E+2
2.08200E+1,3.72000E+2,3.80644E+2,-8.64374E+0,3.80644E+2
2.08400E+1,3.81000E+2,3.80022E+2,9.77509E-1,3.80022E+2
2.08600E+1,3.82000E+2,3.79403E+2,2.59744E+0,3.79403E+2
2.08800E+1,3.53000E+2,3.78784E+2,-2.57837E+1,3.78784E+2
2.09000E+1,3.77000E+2,3.78166E+2,-1.16589E+0,3.78166E+2
2.09200E+1,3.64000E+2,3.77549E+2,-1.35494E+1,3.77549E+2
2.09400E+1,3.65000E+2,3.76934E+2,-1.19339E+1,3.76934E+2
2.09600E+1,3.91000E+2,3.76320E+2,1.46803E+1,3.76320E+2
2.09800E+1,3.46000E+2,3.75706E+2,-2.97065E+1,3.75706E+2
2.10000E+1,3.52000E+2,3.75094E+2,-2.30944E+1,3.75094E+2
2.10200E+1,3.48000E+2,3.74484E+2,-2.64835E+1,3.74484E+2
2.10400E+1,3.49000E+2,3.73874E+2,-2.48737E+1,3.73874E+2
2.10600E+1,3.67000E+2,3.73265E+2,-6.26517E+0,3.73265E+2
2.10800E+1,3.55000E+2,3.72658E+2,-1.76576E+1,3.72658E+2
2.11000E+1,3.61000E+2,3.72051E+2,-1.10512E+1,3.72051E+2
2.11200E+1,3.91000E+2,3.71446E+2,1.95540E+1,3.71446E+2
2.11400E+1,3.46000E+2,3.70842E+2,-2.48419E+1,3.70842E+2
2.11600E+1,3.40000E+2,3.70239E+2,-3.02390E+1,3.70239E+2
2.11800E+1,3.43000E+2,3.69637E+2,-2.66370E+1,3.69637E+2
2.12000E+1,3.41000E+2,3.69036E+2,-2.80363E+1,3.69036E+2
2.12200E+1,3.77000E+2,3.72274E+2,4.72635E+0,3.68437E+2
2.12400E+1,3.81000E+2,3.71934E+2,9.06573E+0,3.67838E+2
2.12600E+1,3.48000E+2,3.73439E+2,-2.54389E+1,3.67241E+2
2.12800E+1,3.61000E+2,3.73279E+2,-1.22794E+1,3.66645E+2
2.13000E+1,3.58000E+2,3.73169E+2,-1.51688E+1,3.66049E+2
2.13200E+1,3.95000E+2,3.73114E+2,2.18856E+1,3.65455E+2
2.13400E+1,3.89000E+2,3.73125E+2,1.58750E+1,3.64862E+2
2.13600E+1,3.48000E+2,3.73211E+2,-2.52108E+1,3.64271E+2
2.13800E+1,3.23000E+2,3.73384E+2,-5.03845E+1,3.63680E+2
2.14000E+1,3.62000E+2,3.73662E+2,-1.16615E+1,3.63090E+2
2.14200E+1,3.19000E+2,3.74061E+2,-5.50611E+1,3.62502E+2
2.14400E+1,3.34000E+2,3.74607E+2,-4.06071E+1,3.61915E+2
2.14600E+1,3.90000E+2,3.75329E+2,1.46709E+1,3.61328E+2
